acc,city,licence
11071,CHICAGO,Retail Food Establishment
402084,CHICAGO,Limited Business License
464220,CHICAGO,Regulated Business License
382029,CHICAGO,Limited Business License
385797,CHICAGO,Limited Business License
463879,CHICAGO,Limited Business License
212793,CHICAGO,Package Goods
366390,CHICAGO,Retail Food Establishment
384963,CHICAGO,Retail Food Establishment
9067,CHICAGO,Retail Food Establishment
382241,CHICAGO,Outdoor Patio
379868,CHICAGO,Outdoor Patio
367602,CHICAGO,Limited Business License
321248,CHICAGO,Limited Business License
6216,CHICAGO,Retail Food Establishment
463856,CHICAGO,Regulated Business License
260177,CHICAGO,Tobacco
17306,CHICAGO,Retail Food Establishment
302434,CHICAGO,Retail Food Establishment
255370,CHICAGO,Regulated Business License
85661,CHICAGO,Limited Business License
367034,CHICAGO,Limited Business License
340664,CHICAGO,Limited Business License
27659,CHICAGO,Limited Business License
85722,CHICAGO,Manufacturing Establishments
367289,CHICAGO,Limited Business License
4717,CHICAGO,Tavern
464014,CHICAGO,Regulated Business License
423247,CHICAGO,Package Goods
406445,CHICAGO,Retail Food Establishment
371702,CHICAGO,Tobacco
471515,CHICAGO,Raffles
291576,CHICAGO,Limited Business License
220488,CHICAGO,Retail Food Establishment
401927,CHICAGO,Limited Business License
426630,CHICAGO,Retail Food Establishment
384840,CHICAGO,Retail Food Establishment
320141,CHICAGO,Children's Services Facility License
257957,CHICAGO,Tobacco
367366,CHICAGO,Regulated Business License
11071,CHICAGO,Retail Food Establishment
209122,CHICAGO,Children's Services Facility License
54707,CHICAGO,Tobacco
422479,WAUCONDA,Shared Housing Unit Operator
247015,CHICAGO,Limited Business License
30974,CHICAGO,Tavern
32588,CHICAGO,Regulated Business License
463739,CHICAGO,Limited Business License
362521,CHICAGO,Children's Services Facility License
401760,CHICAGO,Retail Food Establishment
276997,CHICAGO,Peddler License
5956,CHICAGO,Wholesale Food Establishment
312832,CHICAGO,Retail Food Establishment
346238,CHICAGO,Retail Food Establishment
423039,CHICAGO,Limited Business License
24054,CHICAGO,Retail Food Establishment
463888,EVANSTON,Regulated Business License
463822,CHICAGO,Retail Food Establishment
11071,CHICAGO,Retail Food Establishment
2842,CHICAGO,Limited Business License
255388,CHICAGO,Retail Food Establishment
41305,CHICAGO,Limited Business License
352353,CHICAGO,Limited Business License
87053,CHICAGO,Motor Vehicle Services License
47394,CHICAGO,Limited Business License
25607,CHICAGO,Motor Vehicle Services License
367150,CHICAGO,Retail Food Establishment
463735,CHICAGO,Limited Business License
11071,CHICAGO,Retail Food Establishment
399755,CHICAGO,Retail Food Establishment
23432,CHICAGO,Consumption on Premises - Incidental Activity
210193,CHICAGO,Filling Station
464047,CHICAGO,Limited Business License
62821,CHICAGO,Motor Vehicle Services License
42834,CHICAGO,Limited Business License
395492,CHICAGO,Retail Food Establishment
49361,CHICAGO,Consumption on Premises - Incidental Activity
419541,CHICAGO,Retail Food Establishment
286405,CHICAGO,Limited Business License
23281,CHICAGO,Tobacco
463800,CHICAGO,Regulated Business License
286405,CHICAGO,Limited Business License
